mid_price_top,mid_price_mean,mid_price_mid,mid_price_market_top,mid_price_market_mean,mid_price_market_mid,book_imbalance_0.5_1sec,timestamp
37147500,37146300,37144750,37146797.70992366,37157771.93718404,37128351.08130304,181927036.82216603,2023-03-05/30/23 00:03:27
37147500,37146300,37144750,37146797.70992366,37157771.93718404,37128351.08130304,181927036.82216603,2023-03-05/30/23 00:03:28
37149500,37147800,37146000,37158088.20990851,37158937.56613757,37151222.122704886,184009429.6589669,2023-03-05/30/23 00:03:29
37149500,37147800,37146000,37158088.20990851,37158937.56613757,37151222.122704886,184009429.6589669,2023-03-05/30/23 00:03:30
37149500,37147450,37146750,37158088.20990851,37158300.82767344,37152589.19733773,190184627.12707058,2023-03-05/30/23 00:03:31
37149500,37147450,37146750,37158088.20990851,37158300.82767344,37152589.19733773,190184627.12707058,2023-03-05/30/23 00:03:32
37149500,37147550,37146750,37158299.860286415,37157869.84041261,37152349.50963815,183585808.16532496,2023-03-05/30/23 00:03:33
37149500,37147550,37146750,37158299.860286415,37157869.84041261,37152349.50963815,183585808.16532496,2023-03-05/30/23 00:03:34
37150000,37149050,37148250,37155922.20421393,37159201.017468266,37144596.947194725,188907488.32165995,2023-03-05/30/23 00:03:35
37150000,37149050,37148250,37155922.20421393,37159201.017468266,37144596.947194725,188907488.32165995,2023-03-05/30/23 00:03:36
37150000,37149050,37148250,37155056.07476636,37160327.08592777,37163287.145242065,178418272.52151996,2023-03-05/30/23 00:03:37
37150000,37149050,37148250,37155056.07476636,37160327.08592777,37163287.145242065,178418272.52151996,2023-03-05/30/23 00:03:38
37150000,37149050,37148250,37155056.07476636,37160327.08592777,37163287.145242065,178418272.52151996,2023-03-05/30/23 00:03:39
37150000,37147750,37147000,37155056.07476636,37150352.40928019,37162875.3128911,173526435.5652114,2023-03-05/30/23 00:03:40
37150000,37147750,37147000,37155056.07476636,37150352.40928019,37162875.3128911,173526435.5652114,2023-03-05/30/23 00:03:41
37150000,37147750,37147000,37155056.07476636,37150352.40928019,37162875.3128911,173526435.5652114,2023-03-05/30/23 00:03:42
37150000,37147750,37147000,37155056.07476636,37150352.40928019,37162875.3128911,173526435.5652114,2023-03-05/30/23 00:03:43
